cat /sys/kernel/fvm/bec
bec_pba_page_count cat /sys/kernel/fvm/dedupe
Total Logical  Space  cat /sys/kernel/fvm/fec
FEC Active Count   dmesg
[18874.021230] cwtf:pba_index = 195171, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18874.047702] cwtf:pba_index = 125362, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 225118
[18874.053117] cwtn:pba_index = 225118, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18874.127451] cwtf:pba_index = 175996, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.151775] cwtf:pba_index = 204395, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 24136
[18874.155699] cwtn:pba_index = 24136, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18874.174421] cwtf:pba_index = 9571, retry_cnt=0, diskr_cnt = 1, Tag = 105, Next pba_index = 133575
[18874.181009] cwtn:pba_index = 133575, retry_cnt=1, diskr_cnt = 2, Tag = 106, Next pba_index = 0
[18874.196677] cwtf:pba_index = 43098, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 92295
[18874.211895] cwtn:pba_index = 92295, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 0
[18874.219660] cwtf:pba_index = 171774, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.241122] cwtf:pba_index = 219502, retry_cnt=0, diskr_cnt = 1, Tag = 107, Next pba_index = 38621
[18874.250971] cwtn:pba_index = 38621, retry_cnt=1, diskr_cnt = 2, Tag = 108, Next pba_index = 0
[18874.310616] cwtf:pba_index = 221185, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.331749] cwtf:pba_index = 159056, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 204735
[18874.342604] cwtn:pba_index = 204735, retry_cnt=1, diskr_cnt = 2, Tag = 106, Next pba_index = 52354
[18874.353644] cwtn:pba_index = 52354, retry_cnt=2, diskr_cnt = 3, Tag = 107, Next pba_index = 0
[18874.368863] cwtf:pba_index = 161356, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18874.386691] cwtf:pba_index = 152443, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 125759
[18874.390265] cwtn:pba_index = 125759, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18874.410890] cwtf:pba_index = 90324, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.418615] AISA:337:2:Write:Invoking bec clear since page cache is full
[18874.418620] AISA:69:2:bec_pba_page_count     = 131072
[18874.418621] AISA:70:2:bec_cache_hit          = 45108
[18874.418623] AISA:71:2:bec_cache_miss         = 728299
[18874.418624] AISA:72:2:bec_cache_delete       = 52189
[18874.418625] AISA:73:2:bec_size               = 131072
[18874.418627] AISA:74:2:bec_cutoff_nodes       = 13107
[18874.418628] AISA:75:2:bec_cutoff_percent     = 10
[18874.418629] AISA:76:2:bec_node_mempool_count = 131072
[18874.418631] AISA:384:2:Deleting 13107 pages from bec
[18874.486123] cwtf:pba_index = 135234, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 185182
[18874.490612] cwtn:pba_index = 185182, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 117930
[18874.500250] cwtn:pba_index = 117930, retry_cnt=2, diskr_cnt = 3, Tag = 103, Next pba_index = 0
[18874.504316] cwtf:pba_index = 172589, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18874.519662] cwtf:pba_index = 219636, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18874.532698] cwtf:pba_index = 66818, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.550878] cwtf:pba_index = 130858, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 44282
